"uuid","age_range","education_fields","education_level","employment","employment_fields","italian_knowledge"
"9caf6231-9ecb-4264-93a9-3dfbfb4f4b61","65+","EDUCATION","HIGH","RETIRED","OTHER","M"
"9ec1037e-e102-4e5a-881e-867fe0700abf","18-24","HUMANISTIC","BACHELOR","STUDENT","EDUCATION","B2"
"a59cc7a8-27e7-4199-94b9-9e229244814f","25-34","ENGINEERING","BACHELOR","EMPLOYEE","IT","M"
"a60a9dd1-b831-4c02-8a1d-2be011004153","18-24","OTHER","HIGH","STUDENT","OTHER","B1"
"a70cb664-54aa-4db9-b24f-c5d6c121425e","18-24","JURIDICAL","HIGH","STUDENT","ADMINISTRATIVE","B2"
"a71f36b4-145c-465a-9624-29a0cfbbff43","18-24","ARTISTIC","HIGH","STUDENT","ARTISTIC","B2"
"a8086fcb-1539-4d3a-98a4-5577d090ce07","18-24","HUMANISTIC | JURIDICAL","HIGH","STUDENT","EDUCATION | ARTISTIC","B1"
"ac7aaf04-6af4-4f11-8bca-1bbe3dec23bf","18-24","OTHER","BACHELOR","STUDENT","OTHER","B2"
"b28fd78d-16fa-48bf-9cf0-49d8610b3f7f","65+","JURIDICAL","MASTER","RETIRED","OTHER","M"
"b72ec129-6fcc-426c-9477-8c68d7a4d705","55-64","SCIENTIFIC","MASTER","EMPLOYEE","EDUCATION","M"
"b8181739-f83b-471d-be40-d156506155f8","25-34","OTHER","MASTER","EMPLOYEE","ARTISTIC | OTHER","M"
"bb4bd830-fd1b-478d-b475-cae747b8b627","18-24","JURIDICAL","BACHELOR","STUDENT","OTHER","B2"
"c0095962-a818-4099-8878-d556e5ebd5b8","18-24","JURIDICAL","HIGH","STUDENT","OTHER","C1"
"c13cbc8e-c3da-4353-b4c0-679c59f89179","25-34","JURIDICAL","MASTER","EMPLOYEE","OTHER","M"
"c3b6785a-1e19-43d0-81b3-a70e74d7aef3","18-24","HUMANISTIC","HIGH","STUDENT","ARTISTIC | OTHER","B2"
"c5415032-f54f-4706-ab1a-aca3b6f79230","18-24","OTHER","MID","STUDENT","OTHER","B1"
"c57587ad-562c-432d-9353-7201a45f1b60","18-24","JURIDICAL","BACHELOR","STUDENT","OTHER","B1"
"c5fa25e0-0481-43de-98a6-0de07fb12de7","55-64","OTHER","MASTER","EMPLOYEE","OTHER","M"
"c77dd15d-fdf5-477c-8237-d527dd51c89c","18-24","EDUCATION","HIGH","STUDENT","EDUCATION","C2"
"c84fffc1-00e0-4727-b240-95733855664c","45-54","OTHER","HIGH","EMPLOYEE","ADMINISTRATIVE","M"
"c8c1b4cc-2e14-4bc0-85b3-ecaadb0ccfd5","18-24","OTHER","HIGH","STUDENT","OTHER","B2"
"c8d52176-cfbf-44f1-90c6-8b03a656b782","35-44","OTHER","HIGH","EMPLOYEE","SALES","B2"
"c9394cf8-f67b-4bde-8594-d92bbb3193e9","35-44","ENGINEERING","PHD","EMPLOYEE","IT","C1"
"ca4d22db-bcbb-4159-8e7a-1d1572585280","18-24","HUMANISTIC","HIGH","STUDENT","EDUCATION","B1"
