id,participant_type,participant_group,duration,sessions,d1_reading_time,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_rate,d1_correctness,d1_insecurity,d1_insecurity_count,d2_reading_time,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_rate,d2_correctness,d2_insecurity,d2_insecurity_count,age_range,education_fields,education_level,employment,employment_fields,italian_knowledge,exclusion_reason
S34,FOREIGNER,D,864,1,440.927,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5,False,0,81.165,5.0,5.0,3.0,3.0,5.0,2.0,3.0,0,True,3,18-24,OTHER,HIGH,STUDENT,OTHER,B2,MANUALLY
S35,FOREIGNER,A,1664,2,504.225,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4,False,0,527.844,1.0,1.0,1.0,2.0,1.0,3.0,3.0,4,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2,
S36,FOREIGNER,B,1487,1,538.096,1.0,3.0,1.0,5.0,1.0,1.0,3.0,4,True,1,258.569,2.0,3.0,4.0,1.0,4.0,1.0,4.0,2,False,0,18-24,EDUCATION,BACHELOR,STUDENT,EDUCATION,B2,
S37,FOREIGNER,A,819,1,577.523,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,31.785,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,True,6,18-24,JURIDICAL,HIGH,STUDENT,ADMINISTRATIVE,B2,BOTH CONTROL QUESTION
S38,FOREIGNER,D,817,2,76.712,5.0,5.0,2.0,5.0,5.0,5.0,4.0,0,True,5,289.633,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,True,6,18-24,EDUCATION,BACHELOR,STUDENT,OTHER,B2,BOTH CONTROL QUESTION
S39,FOREIGNER,D,1746,1,216.845,1.0,3.0,4.0,2.0,2.0,1.0,3.0,2,False,0,743.744,1.0,4.0,2.0,1.0,1.0,2.0,3.0,3,False,0,18-24,HUMANISTIC,HIGH,STUDENT,ARTISTIC | OTHER,B2,
S4,FOREIGNER,A,1221,1,510.154,1.0,2.0,5.0,3.0,2.0,1.0,4.0,2,True,1,250.825,1.0,5.0,3.0,5.0,4.0,4.0,4.0,1,True,2,18-24,OTHER,HIGH,STUDENT,OTHER,B1,
S40,FOREIGNER,D,890,1,189.95,2.0,4.0,5.0,3.0,2.0,3.0,5.0,0,True,1,335.54,2.0,3.0,4.0,2.0,3.0,4.0,4.0,0,False,0,18-24,HUMANISTIC,BACHELOR,STUDENT,EDUCATION,B1,BOTH CONTROL QUESTION
S41,FOREIGNER,B,718,2,123.694,1.0,2.0,2.0,4.0,1.0,1.0,3.0,3,False,0,54.281,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1,True,5,18-24,ARTISTIC,HIGH,STUDENT,ARTISTIC,B2,LOW READING TIME
S42,FOREIGNER,D,869,1,177.03,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4,True,1,400.348,2.0,3.0,3.0,4.0,1.0,2.0,5.0,1,False,0,18-24,HUMANISTIC,HIGH,STUDENT,OTHER,B1,
S43,FOREIGNER,A,669,3,551.091,5.0,2.0,5.0,2.0,5.0,3.0,5.0,0,True,3,307.456,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,18-24,JURIDICAL,BACHELOR,STUDENT,OTHER,B1,BOTH CONTROL QUESTION
S44,FOREIGNER,A,195,1,2.725,1.0,5.0,5.0,5.0,5.0,5.0,4.0,1,True,5,1.364,1.0,4.0,3.0,3.0,5.0,1.0,4.0,2,True,1,18-24,OTHER,BACHELOR,STUDENT,OTHER,B2,LOW TIME
S45,FOREIGNER,C,228,1,24.337,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,True,6,21.414,2.0,5.0,4.0,5.0,5.0,4.0,5.0,0,True,3,18-24,JURIDICAL,BACHELOR,STUDENT,OTHER,B2,LOW TIME
S46,FOREIGNER,D,-9223372037,3,1.534,,,,,,,,0,False,0,3692.61,1.0,1.0,1.0,4.0,4.0,1.0,2.0,4,False,0,18-24,JURIDICAL,BACHELOR,STUDENT,OTHER,B1,NOT TERMINATED
S47,FOREIGNER,A,234,1,66.757,4.0,1.0,3.0,2.0,1.0,1.0,4.0,3,False,0,1.959,1.0,2.0,3.0,3.0,1.0,2.0,4.0,2,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B1,LOW TIME
S48,FOREIGNER,B,649,1,255.84,1.0,3.0,3.0,4.0,2.0,1.0,4.0,2,False,0,3.051,1.0,3.0,1.0,4.0,3.0,2.0,3.0,2,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B1,LOW READING TIME
S49,FOREIGNER,D,899,2,136.239,2.0,3.0,4.0,1.0,2.0,1.0,3.0,2,False,0,337.633,1.0,3.0,1.0,1.0,1.0,1.0,2.0,5,False,0,18-24,OTHER,HIGH,STUDENT,OTHER,B2,
