"id","event","timestamp","participant"
"169","d1 | hover | text","1719431274357","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"170","d1 | visible | text","1719431272185","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"171","d1 | hover | q1","1719431273335","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"172","d1 | invisible | q2","1719431274201","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"173","d1 | leave | q1","1719431273967","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"174","d1 | invisible | q1","1719431274568","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"175","d1 | invisible | q3","1719431272169","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"176","d2 | invisible | text","1719431326014","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"177","d2 | leave | text","1719431314646","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"178","d2 | hover | q1","1719431324747","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"179","d2 | visible | q3","1719431324514","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"180","d2 | question | q1 | 1","1719431325413","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"181","d2 | hover | text","1719431322480","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"182","d2 | visible | q4","1719431325947","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"183","d2 | hover | text","1719431313813","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"184","d2 | visible | q3","1719431298114","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"185","d2 | leave | q1","1719431325830","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"186","d2 | hover | text","1719431324164","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"187","d2 | leave | text","1719431324580","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"188","d2 | leave | text","1719431279878","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"189","d2 | leave | text","1719431322613","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"190","d2 | invisible | q3","1719431304396","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"191","d1 | hover | text","1719431318092","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"192","d1 | leave | text","1719431318198","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"193","d1 | visible | q1","1719431369419","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"194","d1 | visible | q1","1719431387003","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"195","d1 | invisible | q1","1719431385720","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"196","d1 | question | q1 | 1","1719431377798","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"197","d1 | invisible | q1","1719431364986","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"198","d1 | leave | q1","1719431378136","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"199","d1 | invisible | q2","1719431388153","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"200","d1 | hover | q1","1719431377052","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"201","d1 | visible | q2","1719431369470","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"202","d1 | leave | text","1719431369469","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
